rusticate-download-rust-codebases
Started at: Instant { tv_sec: 61917, tv_nsec: 55522505 }
Settings:
  Input: analyses/top1100_unique_repos.txt
  Output: /home/milnes/projects/RustCodebases
  Jobs: 8
  Shallow: true
  GitHub only: true
  Skip existing: true
  Dry run: false
  Max repos: None
  Start at: 0

Loaded 1087 repositories

Cloning 1087 repositories with 8 parallel jobs...

[T1] ⊘ Skipped 1: mgeisler/textwrap (already exists)
[T0] ⊘ Skipped 2: dtolnay/syn (already exists)
[T1] ⊘ Skipped 3: Actyx/sync_wrapper (already exists)
[T0] ⊘ Skipped 4: rust-lang/hashbrown (already exists)
[T1] ⊘ Skipped 5: RustCrypto/MACs (already exists)
[T0] ⊘ Skipped 6: bitflags/bitflags (already exists)
[T1] ⊘ Skipped 7: rayon-rs/rayon (already exists)
[T0] ⊘ Skipped 8: dtolnay/proc-macro2 (already exists)
[T2] ⊘ Skipped 9: open-telemetry/opentelemetry-rust (already exists)
[T1] ⊘ Skipped 10: smol-rs/event-listener (already exists)
[T0] ⊘ Skipped 11: dtolnay/quote (already exists)
[T3] ⊘ Skipped 14: algesten/ureq (already exists)
[T2] ⊘ Skipped 13: steffengy/schannel-rs (already exists)
[T1] ⊘ Skipped 12: Alexhuszagh/minimal-lexical (already exists)
[T0] ⊘ Skipped 15: marshallpierce/rust-base64 (already exists)
[T3] ⊘ Skipped 16: jni-rs/jni-rs (already exists)
[T0] ⊘ Skipped 19: rust-lang/libc (already exists)
[T3] ⊘ Skipped 20: DimaKudosh/difflib (already exists)
[T3] ⊘ Skipped 21: brendanzab/approx (already exists)
[T0] ⊘ Skipped 22: rust-random/rand (already exists)
[T2] ⊘ Skipped 17: contain-rs/vec-map (already exists)
[T3] ⊘ Skipped 23: brendanzab/codespan (already exists)
[T4] ⊘ Skipped 24: nukesor/comfy-table (already exists)
[T3] ⊘ Skipped 27: metrics-rs/quanta (already exists)
[T4] ⊘ Skipped 28: BurntSushi/jiff (already exists)
[T0] ⊘ Skipped 25: rust-random/getrandom (already exists)
[T4] ⊘ Skipped 30: taiki-e/const_fn (already exists)
[T3] ⊘ Skipped 29: emilio/precomputed-hash (already exists)
[T4] ⊘ Skipped 33: rust-lang-nursery/error-chain (already exists)
[T0] ⊘ Skipped 31: rust-lang/regex (already exists)
[T4] ⊘ Skipped 35: oconnor663/os_pipe.rs (already exists)
[T0] ⊘ Skipped 36: indexmap-rs/indexmap (already exists)
[T4] ⊘ Skipped 37: dtolnay/cxx (already exists)
[T0] ⊘ Skipped 38: rust-itertools/itertools (already exists)
[T4] ⊘ Skipped 39: google/flatbuffers (already exists)
[T2] ⊘ Skipped 26: sunfishcode/io-lifetimes (already exists)
[T5] ⊘ Skipped 32: Lokathor/safe_arch (already exists)
[T2] ⊘ Skipped 42: rust-random/rngs (already exists)
[T3] ⊘ Skipped 34: dcchut/async-recursion (already exists)
[T0] ⊘ Skipped 40: rust-lang/cfg-if (already exists)
[T4] ⊘ Skipped 41: dtolnay/link-cplusplus (already exists)
[T1] ⊘ Skipped 18: krisprice/ipnet (already exists)
[T5] ⊘ Skipped 43: servo/tendril (already exists)
[T2] ⊘ Skipped 44: kyren/hashlink (already exists)
[T3] ⊘ Skipped 45: rusticstuff/simdutf8 (already exists)
[T0] ⊘ Skipped 46: serde-rs/serde (already exists)
[T4] ⊘ Skipped 47: EmbarkStudios/cfg-expr (already exists)
[T1] ⊘ Skipped 48: chronotope/humantime (already exists)
[T5] ⊘ Skipped 49: conradkleinespel/rpassword (already exists)
[T2] ⊘ Skipped 50: kornelski/rust_urlencoding (already exists)
[T3] ⊘ Skipped 51: sval-rs/value-bag (already exists)
[T2] ⊘ Skipped 56: japaric/cast.rs (already exists)
[T4] ⊘ Skipped 53: r-efi/r-efi (already exists)
[T1] ⊘ Skipped 54: unicode-rs/unicode-segmentation (already exists)
[T5] ⊘ Skipped 55: stanislav-tkach/os_info (already exists)
[T0] ⊘ Skipped 52: cuviper/autocfg (already exists)
[T3] ⊘ Skipped 57: RustCrypto/sponges (already exists)
[T2] ⊘ Skipped 58: RustCrypto/password-hashes (already exists)
[T4] ⊘ Skipped 59: sfackler/fallible-streaming-iterator (already exists)
[T1] ⊘ Skipped 60: alacritty/vte (already exists)
[T1] ⊘ Skipped 66: mystor/synstructure (already exists)
[T1] ⊘ Skipped 67: tokio-rs/prost (already exists)
[T1] ⊘ Skipped 68: nagisa/rust_libloading (already exists)
[T3] ⊘ Skipped 63: daxpedda/web-time (already exists)
[T2] ⊘ Skipped 64: smol-rs/async-io (already exists)
[T4] ⊘ Skipped 65: mgeisler/smawk (already exists)
[T5] ⊘ Skipped 61: addr-rs/psl-types (already exists)
[T4] ⊘ Skipped 72: redis-rs/redis-rs (already exists)
[T0] ⊘ Skipped 62: BurntSushi/memchr (already exists)
[T1] ⊘ Skipped 69: alexcrichton/openssl-probe (already exists)
[T3] ⊘ Skipped 70: mitsuhiko/sha1-smol (already exists)
[T1] ⊘ Skipped 76: retep998/winapi-rs (already exists)
[T2] ⊘ Skipped 71: SimonSapin/rust-utf8 (already exists)
[T3] ⊘ Skipped 77: rust-random/rand_distr (already exists)
[T2] ⊘ Skipped 79: dropbox/rust-brotli (already exists)
[T3] ⊘ Skipped 80: chronotope/chrono-tz (already exists)
[T2] ⊘ Skipped 81: pyo3/pyo3 (already exists)
[T4] ⊘ Skipped 74: Absolucy/nanorand-rs (already exists)
[T0] ⊘ Skipped 75: dtolnay/itoa (already exists)
[T1] ⊘ Skipped 78: bkchr/proc-macro-crate (already exists)
[T0] ⊘ Skipped 85: dtolnay/thiserror (already exists)
[T1] ⊘ Skipped 86: rust-lang/jobserver-rs (already exists)
[T0] ⊘ Skipped 87: dtolnay/unicode-ident (already exists)
[T1] ⊘ Skipped 88: fitzgen/bumpalo (already exists)
[T0] ⊘ Skipped 89: serde-rs/json (already exists)
[T1] ⊘ Skipped 90: rust-openssl/rust-openssl (already exists)
[T0] ⊘ Skipped 91: withoutboats/heck (already exists)
[T1] ⊘ Skipped 92: rust-phf/rust-phf (already exists)
[T0] ⊘ Skipped 93: rust-lang/log (already exists)
[T5] ⊘ Skipped 73: LukeMathWalker/wiremock-rs (already exists)
[T3] ⊘ Skipped 82: iqlusioninc/crates (already exists)
[T2] ⊘ Skipped 83: dtolnay/unsafe-libyaml (already exists)
[T4] ⊘ Skipped 84: oliver-giersch/tagptr (already exists)
[T1] ⊘ Skipped 94: nvzqz/static-assertions-rs (already exists)
[T1] ⊘ Skipped 100: hawkw/sharded-slab (already exists)
[T0] ⊘ Skipped 95: matklad/once_cell (already exists)
[T3] ⊘ Skipped 97: rkyv/ptr_meta (already exists)
[T2] ⊘ Skipped 98: Marwes/combine (already exists)
[T3] ⊘ Skipped 103: whatisinternet/inflector (already exists)
[T2] ⊘ Skipped 104: dropbox/rust-brotli-decompressor (already exists)
[T3] ⊘ Skipped 105: getsentry/rust-debugid (already exists)
[T2] ⊘ Skipped 106: RustCrypto/crypto-bigint (already exists)
[T3] ⊘ Skipped 107: RustCrypto/elliptic-curves (already exists)
[T2] ⊘ Skipped 108: gentoo90/winreg-rs (already exists)
[T3] ⊘ Skipped 109: 3Hren/msgpack-rust (already exists)
[T4] ⊘ Skipped 99: dimforge/nalgebra (already exists)
[T3] ⊘ Skipped 111: RustCrypto/AEADs (already exists)
[T1] ⊘ Skipped 101: petgraph/petgraph (already exists)
[T3] ⊘ Skipped 113: Detegr/rust-ctrlc (already exists)
[T5] ⊘ Skipped 96: servo/futf (already exists)
[T3] ⊘ Skipped 115: altsysrq/rusty-fork (already exists)
[T0] ⊘ Skipped 102: rust-lang/cc-rs (already exists)
[T3] ⊘ Skipped 117: hannobraun/inotify (already exists)
[T4] ⊘ Skipped 112: someguynamedjosh/ouroboros (already exists)
[T3] ⊘ Skipped 119: rusticata/der-parser (already exists)
[T1] ⊘ Skipped 114: storyyeller/stable_deref_trait (already exists)
[T3] ⊘ Skipped 121: soc/option-ext (already exists)
[T1] ⊘ Skipped 122: jedisct1/rust-siphash (already exists)
[T3] ⊘ Skipped 123: arcnmx/serde-value (already exists)
[T1] ⊘ Skipped 124: rutrum/convert-case (already exists)
[T3] ⊘ Skipped 125: TeXitoi/structopt (already exists)
[T1] ⊘ Skipped 126: petgraph/fixedbitset (already exists)
[T2] ⊘ Skipped 110: SergioBenitez/yansi (already exists)
[T0] ⊘ Skipped 118: dtolnay/ryu (already exists)
[T4] ⊘ Skipped 120: gimli-rs/cpp_demangle (already exists)
[T4] ⊘ Skipped 131: rust-analyzer/smol_str (already exists)
[T5] ⊘ Skipped 116: zkat/miette (already exists)
